AAG ORDER NUMBER,CUSTOMER NAME,ORDER DATE PO RECEIVED,CUSTOMER ALT PO,AAG SEASON,CUSTOMER SEASON,DROP,MONTH,RANGE / COLLECTION,PROMO GROUP / CAMPAIGN (HOT 30/GLOBAL EDIT,CATEGORY,PATTERN ID,MAKE OR BUY,PLANNER,ORIGINAL ALIAS/RELATED ITEM,PRICING ALIAS/RELATED ITEM,ALIAS/RELATED ITEM,CUSTOMER STYLE,CUSTOMER''S COLOUR CODE (CUSTOM FIELD) CUSTOMER PROVIDES THIS,ACTIVE,All,Multiple Items,FACILITY CODE,BULK AGREEMENT NUMBER,Sum of TOTAL QTY,BULK AGREEMENT DESCRIPTION,CUSTOMER CODE,CO NUMBER - INITIAL DISTRO,CO NUMBER (INITIAL DISTRO),CO NUMBER (ALLOCATION DISTRO),CO NUMBER - ALLOCATION DISTRO,PO NUMBER,AAG SEASON CODE,INFOR MAKE/BUY CODE,PLANNER2,ITEM TYPE CODE,INFOR ITEM TYPE CODE,PRODUCT GROUP CODE,MAKE/BUY CODE,INFOR PRODUCT GROUP CODE,ITEM GROUP CODE,STYLE DESCRIPTION,INFOR ITEM GROUP CODE,GENDER GROUP CODE,INFOR GENDER GROUP CODE,FABRIC TYPE CODE,INFOR FABRIC TYPE CODE,CUSTOMER COLOUR DESCRIPTION,UNIT OF MEASURE,INFOR COLOUR CODE,XXXS,XXS,XS,S,S/M,M,M/L,L,L/XL,XL,XXL,XXXL,0,2,4,6,8,10,12,14,16,18,20,0-3M,3-6M,6-9M,9-12M,12-18M,18-24M,2T,3T,4T,5T,6T,30/30,30/32,32/30,32/32,34/30,34/32,36/30,36/32,32C,32D,32DD,34C,34D,34DD,36C,36D,36DD,OS,ONE SIZE,0w,10w,12w,1X,2/3,22,24,26,27,28,28-30L,29,2w,2X,2XL,30,30-30L,30-31L,30-32L,30X30,31,31/30,31/32,31-30L,31-31L,31-32L,31X30,32,32/34,32/36,32-30L,32-31L,32-32L,32DDD,32X30,33,33/30,33/32,33-30L,33-31L,33-32L,34,34/34,34-30L,34-31L,34-32L,34DDD,34X30,35,35/30,35/32,35-30L,35-31L,35-32L,36,36/34,36-30L,36-31L,36-32L,36DDD,36X30,38,38/30,38/32,38/34,38/36,38-30L,38-31L,38-32L,38C,38D,38DD,38DDD,38X30,3X,3XL,4/5,40,40/30,40/32,40-30L,40-31L,40X30,42,44,46,48,4w,4X,4XL,4XT,5,50,52,54,56,58,6/7,60,6w,7,8w,9,L(10-12),L(14-16),M(10-12),M(8-10),S(6-8),TOTAL QTY,ORDER TYPE,DESTINATION,DESTINATION WAREHOUSE,ALLOCATION (CHANNEL),SHOP NAME,COLLECTION DELIVERY,SHOP CODE,TRACKING NUMBER,ETA CUSTOMER WAREHOUSE DATE,EX FACTORY DATE,DELIVERY TERMS,PLANNED DELIVERY METHOD,DELIVERY CODE (MODL),NOTES,VALIDATION,VALIDATION2,VALIDATION3,VALIDATION4,CUSTOMER PRICE,USA ONLY LSTP 75% EX WORKS,EX WORKS (USD),ADMINISTRATION FEE,DESIGN FEE,FX CHARGE,HANDLING,PNP,SURCHARGE FEE,DISCOUNT,FINAL FOB (USD),HS CODE,US DUTY RATE,US DUTY,FREIGHT,US TARIFF RATE,US TARIFF,DDP US (USD),UK DUTY RATE,UK FREIGHT,UK INSURANCE,UK CIF,UK DUTY,DDP UK (USD),CAN DUTY RATE,CAN DUTY,DDP CAN (USD),SMS PRICE USD,FINAL PRICES Y/N,NOTES FOR PRICE,PRICING NOTES,Delta,Warehouse,ORTP (ORDER TYPE),Longson Alias,BUAR (BUSINESS AREA UNIT),ADID,record_uuid
GRE-04468,GREYSON CLOTHIERS,12/11/2024,,2025 SUMMER,,,,5/15 REORDER,SCARLETT,,,1,KARLA TONGATE,,,,LSP25K55,,,,,,,,,,,,,,4867,,,,F10,,FGA10,,,FGATOU55,HALLEY II QUARTER ZIP,,WOM,,FABKNIT,,888 - SHORE,PCE,,,,24,81,,92,,80,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,ACTIVE,"WHIPLASH, OH",,,,,,,5/05/2025 0:00,20/06/2025 0:00,DDP,AIR,,Added 12.11.24 qty updated 3.12.24 updated xfty 30.5.25,4867LSP25K55888 - SHORE300,,,,27.16,15.19,20.25,0.1,,0.61,0.2,,,,21.16,6110.30.30.59,0.32,4.86,,0.325,4.94,30.96,,,,,,,,,,61.92,Y,"price added & confirmed 18.2.25 tariff updated 28.3.25, ex fty date & tariff updated 30.05.25",,,,,,,,0E708F96-D71C-4FB0-B793-2F95DB0069D4
GRE-04469,GREYSON CLOTHIERS,12/11/2024,,2025 SUMMER,,,,5/15 REORDER,SCARLETT,,,1,KARLA TONGATE,,,,LSP25B05,,,,,,,,,,,,,,4867,,,,F10,,FGA10,,,FGABOT30,PHOENIX SKIRT WITH SHORTIE,,WOM,,FABKNIT,,888 - SHORE,PCE,,,,49,110,,122,,87,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,ACTIVE,"WHIPLASH, OH",,,,,,,5/05/2025 0:00,11/07/2025 0:00,DDP,AIR,,Added 12.11.24 qty updated 3.12.24 updated xfty 30.5.25,4867LSP25B05888 - SHORE400,,,,23.74,14.56,19.41,0.1,,0.61,0.2,,,,20.32,6104.53.20.10,0.16,2.33,,0.325,4.73,27.38,,,,,,,,,,54.76,Y,"price added & confirmed 18.2.25 tariff updated 28.3.25, ex fty date & tariff updated 30.05.25",,,,,,,,E617BFFC-DDBF-4D0A-9A97-07B02F801D43
GRE-04470,GREYSON CLOTHIERS,12/11/2024,,2025 SUMMER,,,,5/15 REORDER,SCARLETT,,,1,KARLA TONGATE,,,,LSP25B05D,,,,,,,,,,,,,,4867,,,,F10,,FGA10,,,FGABOT30,GARDEN OF VENUS PHOENIX SKIRT WITH SHORTIE,,WOM,,FABKNIT,,645 - AEGEAN,PCE,,,,70,151,,162,,90,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,ACTIVE,"WHIPLASH, OH",,,,,,,5/05/2025 0:00,20/06/2025 0:00,DDP,AIR,,Added 12.11.24 updated xfty 30.5.25,4867LSP25B05D645 - AEGEAN500,,,,25.67,15.79,21.05,0.1,,0.61,0.2,,,,21.96,6104.53.20.10,0.16,2.53,,0.325,5.13,29.62,,,,,,,,,,59.24,Y,"price added & confirmed 18.2.25 tariff updated 28.3.25, ex fty date & tariff updated 30.05.25",,,,,,,,A4D94A02-3681-41F9-AE85-2959709A7B27
GRE-04471,GREYSON CLOTHIERS,12/11/2024,,2025 SUMMER,,,,5/15 REORDER,SCARLETT,,,1,KARLA TONGATE,,,,LSP25B28C,,,,,,,,,,,,,,4867,,,,F10,,FGA10,,,FGABOT30,PAINTED CLOUDS PHOENIX FLARE SKIRT,,WOM,,FABKNIT,,877 - HEAVEN,PCE,,,,51,124,,130,,76,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,ACTIVE,"WHIPLASH, OH",,,,,,,5/05/2025 0:00,20/06/2025 0:00,DDP,AIR,,Added 12.11.24 updated xfty 30.5.25,4867LSP25B28C877 - HEAVEN400,,,,26.15,16.09,21.455,0.1,,0.61,0.2,,,,22.365,6104.53.20.20,0.16,2.57,,0.325,5.23,30.165,,,,,,,,,,60.33,Y,"price added & confirmed 18.2.25 tariff updated 28.3.25, ex fty date & tariff updated 30.05.25",,,,,,,,47CFCAD2-CA9E-447C-A290-1188EC0275B9
GRE-04472,GREYSON CLOTHIERS,12/11/2024,,2025 SUMMER,,,,5/15 CHASE,MENS,,,,EUNICE LEE,,,,MSP24K09,,,,,,,,,,,,,,4498,,,,,,,,,,DUNE POLO,,,,,,417 - MALTESE BLUE,PCE,,,,,25,,90,,105,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,CANCELLED,"WHIPLASH, OH",,,,,,,14/05/2025 0:00,30/04/2025 0:00,DDP,AIR/SEA SPLIT,,Added 13.11.24 cancelled 5.12.24,4498MSP24K09417 - MALTESE BLUE0,,,,19.33,0,,,,0,0,,,,0,,,0,,,0,0,,,,,,,,,,0,,,,,,,,,,A64229A4-D29F-4920-8E59-195476B3C47F
GRE-04473,GREYSON CLOTHIERS,12/11/2024,,2025 SUMMER,,,,5/15 CHASE,MENS,,,,EUNICE LEE,,,,MSP24K09,,,,,,,,,,,,,,4498,,,,,,,,,,DUNE POLO,,,,,,100 - ARCTIC,PCE,,,,,21,,73,,99,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,CANCELLED,"WHIPLASH, OH",,,,,,,14/05/2025 0:00,30/04/2025 0:00,DDP,AIR/SEA SPLIT,,Added 13.11.24 cancelled 5.12.24,4498MSP24K09100 - ARCTIC0,,,,19.33,0,,,,0,0,,,,0,,,0,,,0,0,,,,,,,,,,0,,,,,,,,,,D640724C-CB46-4DEF-AF7D-E3775446434A
GRE-04474,GREYSON CLOTHIERS,12/11/2024,,2025 SUMMER,,,,5/15 CHASE,MENS,,,,EUNICE LEE,,,,MSP24B24,,,,,,,,,,,,,,4498,,,,,,,,,,DUNE PULL ON SHORT,,,,,,417 - MALTESE BLUE,PCE,,,,,26,,87,,102,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,CANCELLED,"WHIPLASH, OH",,,,,,,14/05/2025 0:00,30/04/2025 0:00,DDP,AIR/SEA SPLIT,,Added 13.11.24 cancelled 5.12.24,4498MSP24B24417 - MALTESE BLUE0,,,,24.39,0,,,,0,0,,,,0,,,0,,,0,0,,,,,,,,,,0,,,,,,,,,,EDCC5399-FBA1-498D-8550-31EB25EAA644
GRE-04475,GREYSON CLOTHIERS,12/11/2024,,2025 SUMMER,,,,5/15 CHASE,MENS,,,1,EUNICE LEE,,,,MFA24K80,,,,,,,,,,,,,,4498,,,,F10,,FGA10,,,FGATOU20,CHENE HOODIE,,MEN,,FABKNIT,,417 - MALTESE BLUE,PCE,,,,,20,,86,,101,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,ACTIVE,"WHIPLASH, OH",,,,,,,14/05/2025 0:00,30/04/2025 0:00,DDP,AIR,,Added 13.11.24 ship mode updated 27.2.25,4498MFA24K80417 - MALTESE BLUE300,,,,59.61,35.68,44.6,0.1,,0.61,0,0.2,,,45.51,6110.30.30.41,0.32,11.42,,0.325,11.6,68.53,,,,,,,,,,137.06,Y,price added 7.1.25 tariff updated & price confirmed 19.2.25 tariff updated 1.4.25,,,,,,,,39F42DB5-B7E5-428D-8D69-A920D7419B16
GRE-04476,GREYSON CLOTHIERS,12/11/2024,,2025 SUMMER,,,,5/15 CHASE,MENS,,,1,EUNICE LEE,,,,MSP25K63,,,,,,,,,,,,,,4498,,,,F10,,FGA10,,,FGATOP50,CAMO KENNEBEC SPORT HOODIE,,MEN,,FABKNIT,,417 - MALTESE BLUE,PCE,,,,,122,,548,,704,,463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,ACTIVE,"WHIPLASH, OH",,,,,,,14/05/2025 0:00,15/05/2025 0:00,DDP,AIR,,Added 13.11.24 ship mode updated 27.2.25 updated xfty 30.5.25,4498MSP25K63417 - MALTESE BLUE2000,,,,31.05,17.44,23.25,0.1,,0.61,0,0.2,,,24.16,6109.90.10.07,0.32,5.58,,0.325,5.67,35.41,,,,,,,,,,70.82,Y,"price added 7.1.25 tariff updated & price confirmed 19.2.25 tariff updated 1.4.25, ex fty date & tariff updated 30.05.25",,,,,,,,098F0176-3A36-4E34-A4D6-70F770FC2517
GRE-04477,GREYSON CLOTHIERS,12/11/2024,,2025 SUMMER,,,,5/15 CHASE,MENS,,,1,EUNICE LEE,,,,MSP25K83,,,,,,,,,,,,,,4498,,,,F10,,FGA50,,,FGATOU55,RHINEBECK 1/4 ZIP,,MEN,,FABKNIT,,021 - DARK GREY HEATHER,PCE,,,,,53,,206,,262,,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750,ACTIVE,"WHIPLASH, OH",,,,,,,14/05/2025 0:00,15/05/2025 0:00,DDP,AIR,,Added 13.11.24 color updated 5.12.24 ship mode updated 27.2.25 updated xfty 30.5.25,4498MSP25K83021 - DARK GREY HEATHER750,,,,37.05,20.91,27.88,0.1,,0.61,0,0.2,,,28.79,6110.30.30.53,0.32,6.69,,0.325,6.8,42.28,,,,,,,,,,84.56,Y,"price added 7.1.25 tariff updated & price confirmed 19.2.25 tariff updated 1.4.25, ex fty date & tariff updated 30.05.25",,,,,,,,35C17F23-D7CF-4818-8487-88AF8CC47635
GRE-04478,GREYSON CLOTHIERS,12/11/2024,,2025 SUMMER,,,,5/15 CHASE,MENS,,,1,EUNICE LEE,,,,MSP25O75,,,,,,,,,,,,,,4498,,,,F10,,FGA50,,,FGATOU50,COYWOLF SPORT VEST,,MEN,,FABKNIT,,417 - MALTESE BLUE,PCE,,,,,113,,523,,665,,452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,ACTIVE,"WHIPLASH, OH",,,,,,,14/05/2025 0:00,15/08/2025 0:00,DDP,AIR,,Added 13.11.24 ship mode updated 1.4.25 updated xfty 30.5.25 added xfty 12.6.25,4498MSP25O75417 - MALTESE BLUE1900,,,,60.54,35.27,47.03,0.1,,0.61,0,0.2,,,47.94,6101.30.2010,0.282,9.95,,0.325,11.46,69.35,,,,,,,,,,138.7,Y,"price added 7.1.25 tariff updated & price confirmed 19.2.25 tariff updated 1.4.25, ex fty date & tariff updated 30.05.25",,,,,,,,AF279D38-79AF-433F-B90E-7FC08D4D18F3
GRE-04479,GREYSON CLOTHIERS,12/11/2024,,2025 SUMMER,,,,5/15 CHASE,MENS,,,1,EUNICE LEE,,,,MSP25O73,,,,,,,,,,,,,,4498,,,,F10,,FGA50,,,FGATOU50,TRAILWOLF VEST,,MEN,,FABWOVEN,,942 - BONNEVILLE,PCE,,,,,25,,94,,109,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,ACTIVE,"WHIPLASH, OH",,,,,,,14/05/2025 0:00,15/05/2025 0:00,DDP,AIR,,Added 13.11.24 ship mode updated 27.2.25 updated xfty 30.5.25,4498MSP25O73942 - BONNEVILLE300,,,,30.55,19.96,24.95,0.1,,0.61,0,0.2,,,25.86,6211.33.90.58,0.16,3.19,,0.325,6.49,35.54,,,,,,,,,,71.08,Y,"price added 7.1.25 tariff updated & price confirmed 19.2.25 tariff updated 1.4.25, ex fty date & tariff updated 30.05.25",,,,,,,,3D63E609-7274-487B-8A30-29950DC3A647
GRE-04480,GREYSON CLOTHIERS,12/11/2024,,2025 SUMMER,,,,5/15 CHASE,MENS,,,1,EUNICE LEE,,,,MSP24B67,,,,,,,,,,,,,,4498,,,,F10,,FGA50,,,FGABOT10,CHENOA PANT,,MEN,,FABWOVEN,,417 - MALTESE BLUE,PCE,,,,,36,,79,,58,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,ACTIVE,"WHIPLASH, OH",,,,,,,14/05/2025 0:00,15/05/2025 0:00,DDP,AIR,,Added 13.11.24 ship mode updated 27.2.25 updated xfty 30.5.25,4498MSP24B67417 - MALTESE BLUE200,,,,141.62,100.79,125.99,0.1,,0.61,0,0.2,,,126.9,6203.43.75.90,0.071,7.16,,0.325,32.76,166.82,,,,,,,,,,333.64,Y,"price added 7.1.25 tariff updated & price confirmed 19.2.25 tariff updated 1.4.25, ex fty date & tariff updated 30.05.25",,,,,,,,5BCD0C3E-D353-435C-A22C-729F9E9DE891
GRE-04481,GREYSON CLOTHIERS,14/11/2024,,2025 FALL,,DROP02,,,SCARLETT,,,1,EUNICE LEE,,,,LFA25K86M,,,,,,,,,,,,,,4816,,,,122,,FGA10,,,FGATOP40,RHINEBECK TWO TONE TANK,,WOM,,FABKNIT,,021 - DARK GREY HEATHER,PCE,,,,23,67,,72,,26,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,ACTIVE,"WHIPLASH, OH",,,,,,,5/07/2025 0:00,27/06/2025 0:00,DDP,AIR,,Added 14.11.24 color updated 3.12.24 updated xfty 30.5.25 updated shipmode 4.6.25,4816LFA25K86M021 - DARK GREY HEATHER200,,,,23.9,13.98,18.08,0.1,0,0,0.2,0,0,0,18.38,6109.90.10.65,0.32,4.47,,0.325,4.54,27.39,,,,,,,,,,54.78,Y,"price added & confirmed 10.3.25 tariff updated 1.4.25 updated tariff rate 27.5.25, ex fty date updated 30.05.25",,,,,,,,33540B2F-D529-4325-ABB1-D31DF1B8E890
GRE-04482,GREYSON CLOTHIERS,14/11/2024,,2025 FALL,,DROP02,,,SCARLETT,,,1,EUNICE LEE,,,,LFA25B21M,,,,,,,,,,,,,,4816,,,,122,,FGA10,,,FGALEG20,RHINEBECK SIDE STRIPE LEGGING,,WOM,,FABKNIT,,021 - DARK GREY HEATHER,PCE,,,,14,33,,30,,9,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,ACTIVE,"WHIPLASH, OH",,,,,,,5/07/2025 0:00,20/06/2025 0:00,DDP,AIR,,Added 14.11.24 color updated 3.12.24 qty & ship mode updated 1.4.25 updated xfty 30.5.25,4816LFA25B21M021 - DARK GREY HEATHER92,,,,25.18,15.1,19.49,0.1,0,0,0.2,0,0,0,19.79,6104.63.20.06,0.282,4.26,,0.325,4.91,28.96,,,,,,,,,,57.92,Y,"price added & confirmed 10.3.25 tariff updated 1.4.25 updated tariff rate 27.5.25, ex fty date updated 30.05.25",,,,,,,,391E4E08-A662-4B39-9AFC-1F75A23E74FF
GRE-04482,GREYSON CLOTHIERS,14/11/2024,,2025 FALL,,DROP02,,,SCARLETT,,,1,EUNICE LEE,,,,LFA25B21M,,,,,,,,,,,,,,4816,,,,122,,FGA10,,,FGALEG20,RHINEBECK SIDE STRIPE LEGGING,,WOM,,FABKNIT,,021 - DARK GREY HEATHER,PCE,,,,15,38,,34,,14,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,ACTIVE,"WHIPLASH, OH",,,,,,,5/07/2025 0:00,20/06/2025 0:00,DDP,SEA,,Added 1.4.25 updated xfty 30.5.25,4816LFA25B21M021 - DARK GREY HEATHER108,,,,25.18,15.1,19.49,0.1,0,0,0.2,0,0,0,19.79,6104.63.20.06,0.282,4.26,,0.325,4.91,28.96,,,,,,,,,,57.92,Y,"price added & confirmed 10.3.25 tariff updated 1.4.25 updated tariff rate 27.5.25, ex fty date updated 30.05.25",,,,,,,,04E3C8F3-E661-49D7-8E1B-CCD03431AA38
GRE-04483,GREYSON CLOTHIERS,14/11/2024,,2025 FALL,,DROP02,,,SCARLETT,,,1,EUNICE LEE,,,,LFA25B83,,,,,,,,,,,,,,4816,,,,122,,FGA50,,,FGABOT10,PHOENIX WIDE LEG TROUSER,,WOM,,FABWOVEN,,417 - MALTESE BLUE,PCE,,,,46,100,,95,,42,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,ACTIVE,"WHIPLASH, OH",,,,,,,5/07/2025 0:00,4/07/2025 0:00,DDP,AIR,,Added 14.11.24 updated xfty 30.5.25 updated shipmode 4.6.25,4816LFA25B83417 - MALTESE BLUE300,,,,38.61,22.31,30.35,0.1,0,0,0.2,0,0,0,30.65,6104.63.20.06,0.282,6.29,,0.325,7.25,44.19,,,,,,,,,,88.38,Y,"price added & confirmed 10.3.25 tariff updated 1.4.25 updated tariff rate 27.5.25, ex fty date updated 30.05.25",,,,,,,,83DE80DB-2F2A-4EF8-8B18-5C75C1B16DF2
GRE-04484,GREYSON CLOTHIERS,14/11/2024,,2025 FALL,,DROP02,,,SCARLETT,,,1,EUNICE LEE,,,,LFA25B83,,,,,,,,,,,,,,4816,,,,122,,FGA50,,,FGABOT10,PHOENIX WIDE LEG TROUSER,,WOM,,FABWOVEN,,591 - VINTAGE INDIGO,PCE,,,,41,82,,81,,34,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,ACTIVE,"WHIPLASH, OH",,,,,,,5/07/2025 0:00,4/07/2025 0:00,DDP,AIR,,Added 14.11.24 updated xfty 30.5.25 updated shipmode 4.6.25,4816LFA25B83591 - VINTAGE INDIGO250,,,,38.61,22.31,30.35,0.1,0,0,0.2,0,0,0,30.65,6104.63.20.06,0.282,6.29,,0.325,7.25,44.19,,,,,,,,,,88.38,Y,"price added & confirmed 10.3.25 tariff updated 1.4.25 updated tariff rate 27.5.25, ex fty date updated 30.05.25",,,,,,,,A27A9839-C051-44CA-8CEF-478CEB549016
GRE-04485,GREYSON CLOTHIERS,18/11/2024,,2025 SUMMER,,,,5/15 REORDER,SCARLETT,,,1,EUNICE LEE,,,,LSP25O58,,,,,,,,,,,,,,4461,,,,F10,,FGA10,,,FGATOU30,SOLEIL FULL ZIP,,WOM,,FABKNIT,,877 - HEAVEN,PCE,,,,22,62,,84,,56,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,ACTIVE,"WHIPLASH, OH",,,,,,,5/05/2025 0:00,27/06/2025 0:00,DDP,AIR,,Added 18.11.24 updated xfty 30.5.25,4461LSP25O58877 - HEAVEN240,,,,46.24,26.23,34.97,0.1,,0.61,0.2,,,,35.88,6110.30.30.59,0.32,8.39,,0.325,8.52,52.79,,,,,,,,,,105.58,Y,"price added & confirmed 26.2.25 tariff updated 1.4.25, ex fty date & tariff updated 30.05.25",,,,,,,,72B7F9B6-A82D-49C6-B17C-6563848C5DB2
GRE-04486,GREYSON CLOTHIERS,19/11/2024,,2025 FALL,,,,CLASSICS/BASICS,SCARLETT,,,1,EUNICE LEE,,,,LFA25K55V,,,,,,,,,,,,,,5336,,,,122,,FGA10,,,FGATOU55,HALLEY II QUARTER ZIP,,WOM,,FABKNIT,,100 - ARCTIC,PCE,,,,16,214,,240,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,ACTIVE,"WHIPLASH, OH",,,,,,,5/08/2025 0:00,15/08/2025 0:00,DDP,AIR,,"Added 19.11.24 Split is from PO 4896,updated po number/style number/xfty 15.5.25 updated shipmode 25.6.25",5336LFA25K55V100 - ARCTIC500,,,,27.88,16,20.86,0.1,0,0,0.2,0,0,0,21.16,6110.30.30.59,0.32,5.12,,0.1,1.6,27.88,,,,,,,,,,55.76,Y,price added & confirmed 11.3.25 tariff updated 1.4.25 updated lstp/tariff rate 12.6.25,,,,,,,,D8EA65E4-CC07-4643-87A4-2523559F93C7
