Customer_PO,Shipping_Method,Style,Color,Size,Shipped_Date,Customer,Season,shippingCountry,RESOLVED_BY,Qty,SHIP_KEY
4621,AIR,MFA25K72LS,100 - ARCTIC,M,06/04/25,GREYSON,,USA,,16,4621|AIR|MFA25K72LS|100 - ARCTIC|M
4621,AIR,MFA25K72LS,100 - ARCTIC,M,22/05/25,GREYSON,,USA,,8,4621|AIR|MFA25K72LS|100 - ARCTIC|M
4621,SEA,MFA24O60,417 - MALTESE BLUE,L,06/04/25,GREYSON,,USA,,89,4621|SEA|MFA24O60|417 - MALTESE BLUE|L
4621,SEA,MFA24O60,417 - MALTESE BLUE,L,07/04/25,GREYSON,,USA,,2,4621|SEA|MFA24O60|417 - MALTESE BLUE|L
4621,SEA,MFA25K65,100 - ARCTIC,2XL,06/04/25,GREYSON,,USA,,70,4621|SEA|MFA25K65|100 - ARCTIC|2XL
4621,SEA,MFA25K65,100 - ARCTIC,2XL,07/04/25,GREYSON,,USA,,24,4621|SEA|MFA25K65|100 - ARCTIC|2XL
4621,SEA,MFA25K65,100 - ARCTIC,L,06/04/25,GREYSON,,USA,,240,4621|SEA|MFA25K65|100 - ARCTIC|L
4621,SEA,MFA25K65,100 - ARCTIC,L,07/04/25,GREYSON,,USA,,136,4621|SEA|MFA25K65|100 - ARCTIC|L
4621,SEA,MFA25K65,100 - ARCTIC,L,07/06/25,GREYSON,,USA,,9,4621|SEA|MFA25K65|100 - ARCTIC|L
4621,SEA,MFA25K65,100 - ARCTIC,M,06/04/25,GREYSON,,USA,,170,4621|SEA|MFA25K65|100 - ARCTIC|M
4621,SEA,MFA25K65,100 - ARCTIC,M,07/04/25,GREYSON,,USA,,83,4621|SEA|MFA25K65|100 - ARCTIC|M
4621,SEA,MFA25K65,100 - ARCTIC,M,07/06/25,GREYSON,,USA,,56,4621|SEA|MFA25K65|100 - ARCTIC|M
4621,SEA,MFA25K65,100 - ARCTIC,S,07/04/25,GREYSON,,USA,,98,4621|SEA|MFA25K65|100 - ARCTIC|S
4621,SEA,MFA25K65,100 - ARCTIC,S,07/06/25,GREYSON,,USA,,3,4621|SEA|MFA25K65|100 - ARCTIC|S
4621,SEA,MFA25K65,100 - ARCTIC,XL,06/04/25,GREYSON,,USA,,150,4621|SEA|MFA25K65|100 - ARCTIC|XL
4621,SEA,MFA25K65,100 - ARCTIC,XL,07/04/25,GREYSON,,USA,,44,4621|SEA|MFA25K65|100 - ARCTIC|XL
4621,SEA,MFA25K65,100 - ARCTIC,XL,07/06/25,GREYSON,,USA,,39,4621|SEA|MFA25K65|100 - ARCTIC|XL
4621,SEA,MFA25K66,100 - ARCTIC,2XL,06/04/25,GREYSON,,USA,,52,4621|SEA|MFA25K66|100 - ARCTIC|2XL
4621,SEA,MFA25K66,100 - ARCTIC,2XL,07/04/25,GREYSON,,USA,,34,4621|SEA|MFA25K66|100 - ARCTIC|2XL
4621,SEA,MFA25K66,100 - ARCTIC,L,06/04/25,GREYSON,,USA,,330,4621|SEA|MFA25K66|100 - ARCTIC|L
4621,SEA,MFA25K66,100 - ARCTIC,L,07/04/25,GREYSON,,USA,,53,4621|SEA|MFA25K66|100 - ARCTIC|L
4621,SEA,MFA25K66,100 - ARCTIC,M,06/04/25,GREYSON,,USA,,282,4621|SEA|MFA25K66|100 - ARCTIC|M
4621,SEA,MFA25K66,100 - ARCTIC,M,07/04/25,GREYSON,,USA,,14,4621|SEA|MFA25K66|100 - ARCTIC|M
4621,SEA,MFA25K66,100 - ARCTIC,S,06/04/25,GREYSON,,USA,,60,4621|SEA|MFA25K66|100 - ARCTIC|S
4621,SEA,MFA25K66,100 - ARCTIC,S,07/04/25,GREYSON,,USA,,20,4621|SEA|MFA25K66|100 - ARCTIC|S
4621,SEA,MFA25K66,100 - ARCTIC,XL,06/04/25,GREYSON,,USA,,110,4621|SEA|MFA25K66|100 - ARCTIC|XL
4621,SEA,MFA25K66,100 - ARCTIC,XL,07/04/25,GREYSON,,USA,,144,4621|SEA|MFA25K66|100 - ARCTIC|XL
4621,SEA,MFA25K66,898 - VARSITY RED,L,06/04/25,GREYSON,,USA,,55,4621|SEA|MFA25K66|898 - VARSITY RED|L
4621,SEA,MFA25K66,898 - VARSITY RED,L,07/04/25,GREYSON,,USA,,150,4621|SEA|MFA25K66|898 - VARSITY RED|L
4621,SEA,MFA25K66,898 - VARSITY RED,M,06/04/25,GREYSON,,USA,,58,4621|SEA|MFA25K66|898 - VARSITY RED|M
4621,SEA,MFA25K66,898 - VARSITY RED,M,07/04/25,GREYSON,,USA,,102,4621|SEA|MFA25K66|898 - VARSITY RED|M
4621,SEA,MFA25K72LS,100 - ARCTIC,2XL,07/04/25,GREYSON,,USA,,11,4621|SEA|MFA25K72LS|100 - ARCTIC|2XL
4621,SEA,MFA25K72LS,100 - ARCTIC,2XL,22/05/25,GREYSON,,USA,,31,4621|SEA|MFA25K72LS|100 - ARCTIC|2XL
4621,SEA,MFA25K72LS,100 - ARCTIC,L,07/04/25,GREYSON,,USA,,93,4621|SEA|MFA25K72LS|100 - ARCTIC|L
4621,SEA,MFA25K72LS,100 - ARCTIC,L,22/05/25,GREYSON,,USA,,85,4621|SEA|MFA25K72LS|100 - ARCTIC|L
4621,SEA,MFA25K72LS,100 - ARCTIC,M,07/04/25,GREYSON,,USA,,129,4621|SEA|MFA25K72LS|100 - ARCTIC|M
4621,SEA,MFA25K72LS,100 - ARCTIC,M,22/05/25,GREYSON,,USA,,10,4621|SEA|MFA25K72LS|100 - ARCTIC|M
4621,SEA,MFA25K72LS,100 - ARCTIC,S,07/04/25,GREYSON,,USA,,20,4621|SEA|MFA25K72LS|100 - ARCTIC|S
4621,SEA,MFA25K72LS,100 - ARCTIC,S,22/05/25,GREYSON,,USA,,28,4621|SEA|MFA25K72LS|100 - ARCTIC|S
4621,SEA,MFA25K72LS,100 - ARCTIC,XL,07/04/25,GREYSON,,USA,,64,4621|SEA|MFA25K72LS|100 - ARCTIC|XL
4621,SEA,MFA25K72LS,100 - ARCTIC,XL,22/05/25,GREYSON,,USA,,51,4621|SEA|MFA25K72LS|100 - ARCTIC|XL
4621,SEA,MFA25K74,645 - AEGEAN,L,07/04/25,GREYSON,,USA,,173,4621|SEA|MFA25K74|645 - AEGEAN|L
4621,SEA,MFA25K74,645 - AEGEAN,L,07/06/25,GREYSON,,USA,,6,4621|SEA|MFA25K74|645 - AEGEAN|L
4621,SEA,MFA25K74,645 - AEGEAN,M,07/04/25,GREYSON,,USA,,139,4621|SEA|MFA25K74|645 - AEGEAN|M
4621,SEA,MFA25K74,645 - AEGEAN,M,07/06/25,GREYSON,,USA,,3,4621|SEA|MFA25K74|645 - AEGEAN|M
4621,SEA,MFA25K74,645 - AEGEAN,S,07/04/25,GREYSON,,USA,,38,4621|SEA|MFA25K74|645 - AEGEAN|S
4621,SEA,MFA25K74,645 - AEGEAN,S,07/06/25,GREYSON,,USA,,1,4621|SEA|MFA25K74|645 - AEGEAN|S
